RequestID,Boro,Yr,M,D,HH,MM,Vol,SegmentID,WktGeom,Street,fromSt,toSt,Direction
26535,Queens,2017,7,25,2,45,0,45312,POINT (1009050.8264441418 197775.38279133002),FAIRVIEW AVENUE,Linden Hill Cemetery Boundary,Himrod Street,EB\
25929,Brooklyn,2016,9,17,22,15,0,162646,POINT (987066.7515592945 194573.83364473705),PROSPECT STREET,Brooklyn Bridge Approach,Cadman Plaza East,EB\
31026,Manhattan,2019,10,7,5,15,125,23408,POINT (982630.6384332951 199387.37997844137),CHAMBERS STREET,Elk Street,Broadway,WB\
2938,Queens,2010,4,20,9,45,55,83739,POINT (1025135.2 213356),N/B 114 ST @ ROOSEVELT AVE,ROOSEVELT AV,41 AV,NB\
2992,Queens,2010,1,10,16,30,83,74733,POINT (1016489.8 206606.1),W/B GRAND AVE @ 84 ST / CALAMUS AVE,84 ST/CALAMUS AV,LONG ISLAND RAILROAD,WB\
18436,Manhattan,2014,10,16,19,45,2,150950,POINT (997395.1478451225 230033.5084595048),CENTRAL PARK LENOX AVENUE APPR,Dead end,Central Park North,NB\
24541,Brooklyn,2016,10,20,15,30,132,26691,POINT (991549.11749289 169022.80925115535),LAWRENCE AVENUE,Ocean Parkway,Seton Place,WB\
3382,Brooklyn,2009,6,26,2,0,4,42411,POINT (1006859.5 172096.2),S/B EAST 79 ST @ FARRAGUT RD,RALPH AV,FARRAGUT RD,SB\
16548,Bronx,2014,1,27,14,30,166,88035,POINT (1024395.6 250743.6),WILLIAMSBRIDGE RD,NEILL AV,LYDIG AV,SB\
24123,Brooklyn,2016,8,1,14,0,54,26620,POINT (991848.5041651557 162050.56142330964),AVENUE O,Culver Line,East 2 Street,EB\
1751,Queens,2010,9,15,17,0,196,63674,POINT (1056764.6 183183.6),N/B LAURELTON PKWY S/RD TO FRANCIS LEWS,FRANCIS LEWIS BLVD,FRANCIS LEWIS BLVD,NB\
20328,Manhattan,2015,5,15,7,45,286,37376,POINT (993752.8818981395 220332.06214388838),MADISON AVENUE,East 71 Street,East 72 Street,NB\
21077,Manhattan,2015,9,15,2,15,20,173249,POINT (1002838.6483005955 237849.6260707753),145 STREET BRIDGE,Dead End,Harlem River Shoreline,WB\
8753,Manhattan,2012,6,19,1,15,78,151915,POINT (989245 222514.5),BROADWAY,W 70 ST,W 71 ST,NB\
26799,Queens,2017,4,30,13,45,154,177615,POINT (1028931.8143046284 215115.26618027306),ROOSEVELT AVENUE BRIDGE,Flushing Line,Flushing Line,EB\
18901,Manhattan,2014,11,17,18,0,165,138621,POINT (1004228.1490390397 254624.50993494707),RIVERSIDE DRIVE,Dead end,Dead End,SB\
1902,Manhattan,2010,11,25,6,15,8,33123,POINT (989013.4 205601),N/B 1ST AVE (LEFT) @ E 14 ST,E 13 ST,E 14 ST,NB\
